  unhandled argument: C:\Users\vitor\Documents\MIEI\Visualização e Iluminação 1\Trabalho Prático\bin_x64\Release\gl_commandlist_basic.exe
DEVICE: GeForce_GTX_1650
vsync: on
scene.vert.glsl ...
scene.frag.glsl ...
scene.vert.glsl ...
scene.geo.glsl ...
scene.frag.glsl ...
  Timer GUI;	 GL       6; CPU   7872; (microseconds, avg 128)

 Timer Frame;	 GL    6871; CPU   8230; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 128)
  Timer Draw;	 GL    6786; CPU    255; (microseconds, avg 128)
  Timer Blit;	 GL      62; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       9; CPU   7944; (microseconds, avg 128)

 Timer Frame;	 GL    6826; CPU   8238; (microseconds, avg 128)
  Timer Setup;	 GL       5; CPU      4; (microseconds, avg 128)
  Timer Draw;	 GL    6745; CPU      0; (microseconds, avg 128)
  Timer Blit;	 GL      62; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       7; CPU   8201; (microseconds, avg 128)

 Timer Frame;	 GL    6825; CPU   8246; (microseconds, avg 128)
  Timer Setup;	 GL       5; CPU      4; (microseconds, avg 128)
  Timer Draw;	 GL    6744; CPU      0; (microseconds, avg 128)
  Timer Blit;	 GL      61; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       7; CPU   8209; (microseconds, avg 128)

 Timer Frame;	 GL    6824; CPU   8241; (microseconds, avg 128)
  Timer Setup;	 GL       5; CPU      4; (microseconds, avg 128)
  Timer Draw;	 GL    6743; CPU      0; (microseconds, avg 128)
  Timer Blit;	 GL      62; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       7; CPU   8206; (microseconds, avg 128)

 Timer Frame;	 GL    6823; CPU   8241; (microseconds, avg 128)
  Timer Setup;	 GL       5; CPU      4; (microseconds, avg 128)
  Timer Draw;	 GL    6743; CPU      0; (microseconds, avg 128)
  Timer Blit;	 GL      62; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   8203; (microseconds, avg 128)

 Timer Frame;	 GL    6824; CPU   8237; (microseconds, avg 128)
  Timer Setup;	 GL       5; CPU      4; (microseconds, avg 128)
  Timer Draw;	 GL    6745; CPU      0; (microseconds, avg 128)
  Timer Blit;	 GL      61; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   8200; (microseconds, avg 128)

 Timer Frame;	 GL    6825; CPU   8223; (microseconds, avg 128)
  Timer Setup;	 GL       5; CPU      4; (microseconds, avg 128)
  Timer Draw;	 GL    6743; CPU      0; (microseconds, avg 128)
  Timer Blit;	 GL      62; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       8; CPU   8185; (microseconds, avg 128)

 Timer Frame;	 GL    6827; CPU   8221; (microseconds, avg 128)
  Timer Setup;	 GL       5; CPU      4; (microseconds, avg 128)
  Timer Draw;	 GL    6745; CPU      0; (microseconds, avg 128)
  Timer Blit;	 GL      61; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       9; CPU   8175; (microseconds, avg 128)

 Timer Frame;	 GL    6833; CPU   8207; (microseconds, avg 128)
  Timer Setup;	 GL       5; CPU      5; (microseconds, avg 128)
  Timer Draw;	 GL    6750; CPU      0; (microseconds, avg 128)
  Timer Blit;	 GL      61; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       9; CPU   8161; (microseconds, avg 128)

 Timer Frame;	 GL    6923; CPU   8277; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 128)
  Timer Draw;	 GL    6838; CPU    252; (microseconds, avg 128)
  Timer Blit;	 GL      65; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   8002; (microseconds, avg 128)

 Timer Frame;	 GL    6921; CPU   8284; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 128)
  Timer Draw;	 GL    6837; CPU    253; (microseconds, avg 128)
  Timer Blit;	 GL      64; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   8008; (microseconds, avg 128)

 Timer Frame;	 GL    6930; CPU   8266; (microseconds, avg 41)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 41)
  Timer Draw;	 GL    6840; CPU    255; (microseconds, avg 41)
  Timer Blit;	 GL      65; CPU      0; (microseconds, avg 41)
  Timer GUI;	 GL      11; CPU   7982; (microseconds, avg 41)

 Timer Frame;	 GL    6921; CPU   8280; (microseconds, avg 114)
  Timer Setup;	 GL       8; CPU      2; (microseconds, avg 114)
  Timer Draw;	 GL    6836; CPU    526; (microseconds, avg 114)
  Timer Blit;	 GL      62; CPU      0; (microseconds, avg 114)
  Timer GUI;	 GL       7; CPU   7728; (microseconds, avg 114)

 Timer Frame;	 GL    6918; CPU   8281; (microseconds, avg 128)
  Timer Setup;	 GL       8; CPU      2; (microseconds, avg 128)
  Timer Draw;	 GL    6832; CPU    527; (microseconds, avg 128)
  Timer Blit;	 GL      64; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       7; CPU   7730; (microseconds, avg 128)

 Timer Frame;	 GL    6916; CPU   8286; (microseconds, avg 8)
  Timer Setup;	 GL       8; CPU      3; (microseconds, avg 8)
  Timer Draw;	 GL    6833; CPU    518; (microseconds, avg 8)
  Timer Blit;	 GL      61; CPU      0; (microseconds, avg 8)
  Timer GUI;	 GL       6; CPU   7735; (microseconds, avg 8)

